,country_name,year,cents_per_lbs,Unnamed: 29
0,Colombia,1990,69.523,Colombian Milds
1,Kenya,1990,60.5721,Colombian Milds
2,Tanzania,1990,40.8183,Colombian Milds
3,Tanzania,1990,40.8183,Robustas
4,Bolivia,1990,51.7802,Other Milds
5,Burundi,1990,58.0195,Other Milds
6,Burundi,1990,58.0195,Robustas
7,Cameroon,1990,32.2852,Other Milds
8,Cameroon,1990,32.2852,Robustas
9,"Congo, Dem. Rep. of",1990,,Other Milds
10,"Congo, Dem. Rep. of",1990,,Robustas
11,Costa Rica,1990,58.4893,Other Milds
12,Cuba,1990,171.4282,Other Milds
13,Dominican Republic,1990,66.055,Other Milds
14,Ecuador,1990,35.2113,Other Milds
15,Ecuador,1990,35.2113,Robustas
16,El Salvador,1990,50.5636,Other Milds
17,Guatemala,1990,54.5845,Other Milds
18,Haiti,1990,41.2845,Other Milds
19,Honduras,1990,50.3496,Other Milds
20,India,1990,66.7522,Other Milds
21,India,1990,66.7522,Robustas
22,Jamaica,1990,171.5513,Other Milds
23,Madagascar,1990,,Other Milds
24,Madagascar,1990,,Robustas
25,Malawi,1990,84.873,Other Milds
26,Mexico,1990,79.5617,Other Milds
27,Nicaragua,1990,4.3963,Other Milds
28,Panama,1990,49.304,Other Milds
29,Papua New Guinea,1990,65.5004,Other Milds
30,Papua New Guinea,1990,65.5004,Robustas
31,Peru,1990,90.3729,Other Milds
32,Rwanda,1990,74.2047,Other Milds
33,Sri Lanka,1990,,Other Milds
34,Sri Lanka,1990,,Robustas
35,Uganda,1990,15.2932,Other Milds
36,Uganda,1990,15.2932,Robustas
37,"Venezuela, Bol. Rep. of",1990,,Other Milds
38,Zambia,1990,89.7541,Other Milds
39,Zimbabwe ,1990,,Other Milds
40,Angola,1990,,Brazilian Naturals
41,Angola,1990,,Robustas
42,Brazil,1990,54.3248,Brazilian Naturals
43,Brazil,1990,54.3248,Robustas
44,Ethiopia,1990,61.09,Brazilian Naturals
45,Indonesia,1990,,Brazilian Naturals
46,Indonesia,1990,,Robustas
47,Philippines,1990,,Brazilian Naturals
48,Philippines,1990,,Robustas
49,Thailand,1990,,Brazilian Naturals
50,Thailand,1990,,Robustas
51,Vietnam,1990,,Brazilian Naturals
52,Vietnam,1990,,Robustas
53,Angola,1990,85.6569,Brazilian Naturals
54,Angola,1990,85.6569,Robustas
55,Benin,1990,53.7609,Robustas
56,Brazil,1990,34.8486,Brazilian Naturals
57,Brazil,1990,34.8486,Robustas
58,Burundi,1990,,Other Milds
59,Burundi,1990,,Robustas
60,Cameroon,1990,28.3337,Other Milds
61,Cameroon,1990,28.3337,Robustas
62,Central African Republic,1990,36.7471,Robustas
63,"Congo, Dem. Rep. of",1990,4.5201,Other Milds
64,"Congo, Dem. Rep. of",1990,4.5201,Robustas
65,"Congo, Rep. of",1990,19.2087,Robustas
66,Côte d'Ivoire,1990,33.4064,Robustas
67,Ecuador,1990,19.0602,Other Milds
68,Ecuador,1990,19.0602,Robustas
69,Gabon,1990,43.4284,Robustas
70,Ghana,1990,,Robustas
71,Guinea,1990,34.3722,Robustas
72,India,1990,44.3451,Other Milds
73,India,1990,44.3451,Robustas
74,Indonesia,1990,29.6807,Brazilian Naturals
75,Indonesia,1990,29.6807,Robustas
76,Liberia,1990,,Robustas
77,Madagascar,1990,32.4545,Other Milds
78,Madagascar,1990,32.4545,Robustas
79,Nigeria,1990,70.5228,Robustas
80,Papua New Guinea,1990,26.5984,Other Milds
81,Papua New Guinea,1990,26.5984,Robustas
82,Philippines,1990,34.2253,Brazilian Naturals
83,Philippines,1990,34.2253,Robustas
