,country_name,year,value
1,   Austria,1990,1880.0
2,   Belgium,1990,
3,   Belgium/Luxembourg,1990,2015.0
4,   Bulgaria,1990,268.0
5,   Croatia,1990,
6,   Cyprus,1990,50.0
7,   Czech Republic,1990,659.0
8,   Denmark,1990,959.0
9,   Estonia,1990,
10,   Finland,1990,1095.0
11,   France,1990,6301.0
12,   Germany,1990,13671.0
13,   Greece,1990,642.0
14,   Hungary,1990,574.0
15,   Ireland,1990,129.0
16,   Italy,1990,5242.0
17,   Latvia,1990,
18,   Lithuania,1990,
19,   Luxembourg,1990,
20,   Malta,1990,21.0
21,   Netherlands,1990,3128.0
22,   Poland,1990,435.0
23,   Portugal,1990,552.0
24,   Romania,1990,442.0
25,   Slovakia,1990,
26,   Slovenia,1990,
27,   Spain,1990,3053.0
28,   Sweden,1990,1767.0
29,   United Kingdom,1990,2898.0
31,Japan,1990,5330.0
32,Norway,1990,742.0
33,Russian Federation,1990,
34,Switzerland,1990,1171.0
35,Tunisia,1990,101.0
36,USA,1990,21007.0
38,   Austria,1991,2058.0
39,   Belgium,1991,
40,   Belgium/Luxembourg,1991,1746.0
41,   Bulgaria,1991,200.0
42,   Croatia,1991,
43,   Cyprus,1991,54.0
44,   Czech Republic,1991,525.0
45,   Denmark,1991,983.0
46,   Estonia,1991,
47,   Finland,1991,1033.0
48,   France,1991,6553.0
49,   Germany,1991,13229.0
50,   Greece,1991,407.0
51,   Hungary,1991,641.0
52,   Ireland,1991,118.0
53,   Italy,1991,4630.0
54,   Latvia,1991,
55,   Lithuania,1991,
56,   Luxembourg,1991,
57,   Malta,1991,16.0
58,   Netherlands,1991,3121.0
59,   Poland,1991,250.0
60,   Portugal,1991,557.0
61,   Romania,1991,335.0
62,   Slovakia,1991,
63,   Slovenia,1991,
64,   Spain,1991,2970.0
65,   Sweden,1991,1717.0
66,   United Kingdom,1991,2806.0
68,Japan,1991,5510.0
69,Norway,1991,761.0
70,Russian Federation,1991,
71,Switzerland,1991,1130.0
72,Tunisia,1991,90.0
73,USA,1991,19840.0
75,   Austria,1992,2206.0
76,   Belgium,1992,
77,   Belgium/Luxembourg,1992,1828.0
78,   Bulgaria,1992,182.0
79,   Croatia,1992,168.0
80,   Cyprus,1992,41.0
81,   Czech Republic,1992,475.0
82,   Denmark,1992,1062.0
83,   Estonia,1992,16.0
84,   Finland,1992,1055.0
85,   France,1992,6612.0
86,   Germany,1992,13789.0
87,   Greece,1992,349.0
88,   Hungary,1992,522.0
89,   Ireland,1992,95.0
90,   Italy,1992,4595.0
