,key_0,price,quantity
0,1960-01-01,45.68,782.0
1,1960-02-01,45.95,449.0
2,1960-03-01,45.1,266.0
3,1960-04-01,45.2,264.0
4,1960-05-01,44.73,602.0
5,1960-06-01,44.38,881.0
6,1960-07-01,44.55,820.0
7,1960-08-01,45.15,557.0
8,1960-09-01,44.85,342.0
9,1960-10-01,44.9,357.0
10,1960-11-01,44.35,742.0
11,1960-12-01,43.85,1111.0
12,1961-01-01,44.48,766.0
13,1961-02-01,44.58,470.0
14,1961-03-01,44.3,400.0
15,1961-04-01,43.9,503.0
16,1961-05-01,43.5,706.0
17,1961-06-01,43.33,993.0
18,1961-07-01,43.5,556.0
19,1961-08-01,43.53,304.0
20,1961-09-01,43.33,305.0
21,1961-10-01,43.15,451.0
22,1961-11-01,43.05,736.0
23,1961-12-01,42.8,1074.0
24,1962-01-01,42.8,714.0
25,1962-02-01,42.78,527.0
26,1962-03-01,42.05,539.0
27,1962-04-01,41.4,392.0
28,1962-05-01,40.45,349.0
29,1962-06-01,39.5,658.0
30,1962-07-01,39.88,619.0
31,1962-08-01,40.15,378.0
32,1962-09-01,40.45,354.0
33,1962-10-01,39.78,697.0
34,1962-11-01,39.85,923.0
35,1962-12-01,40.1,983.0
36,1963-01-01,40.5,938.0
37,1963-02-01,39.43,352.0
38,1963-03-01,39.78,635.0
39,1963-04-01,39.65,445.0
40,1963-05-01,39.15,641.0
41,1963-06-01,39.25,1167.0
42,1963-07-01,39.58,709.0
43,1963-08-01,39.5,507.0
44,1963-09-01,39.38,456.0
45,1963-10-01,39.48,575.0
46,1963-11-01,39.6,440.0
47,1963-12-01,39.28,596.0
48,1964-01-01,45.0,568.0
49,1964-02-01,45.7,506.0
50,1964-03-01,49.95,349.0
51,1964-04-01,48.55,933.0
52,1964-05-01,49.28,975.0
53,1964-06-01,48.6,908.0
54,1964-07-01,49.33,943.0
55,1964-08-01,50.58,384.0
56,1964-09-01,50.05,386.0
57,1964-10-01,50.08,717.0
58,1964-11-01,49.9,833.0
59,1964-12-01,48.6,1145.0
60,1965-01-01,48.88,757.0
61,1965-02-01,49.68,750.0
62,1965-03-01,46.11,502.0
63,1965-04-01,46.25,566.0
64,1965-05-01,45.56,602.0
65,1965-06-01,46.46,621.0
66,1965-07-01,46.52,644.0
67,1965-08-01,47.39,328.0
68,1965-09-01,47.29,257.0
69,1965-10-01,47.85,644.0
70,1965-11-01,48.54,710.0
71,1965-12-01,48.8,852.0
72,1966-01-01,47.93,495.0
73,1966-02-01,46.13,878.0
74,1966-03-01,45.27,432.0
75,1966-04-01,45.27,715.0
76,1966-05-01,44.92,1227.0
77,1966-06-01,43.87,866.0
78,1966-07-01,43.59,711.0
79,1966-08-01,43.62,459.0
80,1966-09-01,42.78,293.0
81,1966-10-01,42.27,596.0
82,1966-11-01,42.24,1135.0
83,1966-12-01,41.59,856.0
84,1967-01-01,40.56,1067.0
85,1967-02-01,40.29,903.0
86,1967-03-01,39.37,442.0
87,1967-04-01,40.59,508.0
88,1967-05-01,42.33,647.0
89,1967-06-01,43.24,364.0
90,1967-07-01,42.94,362.0
91,1967-08-01,41.0,360.0
92,1967-09-01,41.04,269.0
93,1967-10-01,40.43,518.0
94,1967-11-01,41.31,772.0
95,1967-12-01,40.61,1044.0
96,1968-01-01,41.28,955.0
97,1968-02-01,41.42,763.0
98,1968-03-01,42.01,270.0
99,1968-04-01,42.19,286.0
100,1968-05-01,41.99,700.0
101,1968-06-01,42.28,710.0
102,1968-07-01,41.98,825.0
103,1968-08-01,41.29,753.0
104,1968-09-01,40.73,419.0
105,1968-10-01,40.76,520.0
106,1968-11-01,40.49,966.0
107,1968-12-01,39.5,887.0
108,1969-01-01,39.58,908.0
109,1969-02-01,40.19,604.0
110,1969-03-01,39.62,513.0
111,1969-04-01,38.9,741.0
112,1969-05-01,38.71,874.0
113,1969-06-01,38.06,598.0
114,1969-07-01,37.27,599.0
115,1969-08-01,38.86,198.0
116,1969-09-01,42.94,236.0
117,1969-10-01,49.18,387.0
118,1969-11-01,48.48,1086.0
119,1969-12-01,49.53,1099.0
120,1970-01-01,53.57,426.0
121,1970-02-01,53.95,483.0
122,1970-03-01,55.12,259.0
123,1970-04-01,56.56,1089.0
124,1970-05-01,57.2,976.0
125,1970-06-01,56.71,1141.0
126,1970-07-01,56.98,888.0
127,1970-08-01,55.65,350.0
128,1970-09-01,54.63,373.0
129,1970-10-01,52.79,466.0
130,1970-11-01,48.62,735.0
131,1970-12-01,46.34,1080.0
132,1971-01-01,47.5,814.0
133,1971-02-01,46.6,695.0
134,1971-03-01,48.01,581.0
135,1971-04-01,46.88,597.0
136,1971-05-01,48.19,659.0
137,1971-06-01,47.46,885.0
138,1971-07-01,47.03,524.0
139,1971-08-01,47.59,384.0
140,1971-09-01,45.75,383.0
141,1971-10-01,44.78,675.0
142,1971-11-01,45.81,477.0
143,1971-12-01,48.3,620.0
144,1972-01-01,46.93,616.0
145,1972-02-01,47.34,538.0
146,1972-03-01,48.23,398.0
147,1972-04-01,47.88,719.0
148,1972-05-01,49.06,434.0
