Volumen de las exportaciones colombianas de café - mensual,
Unidad: Miles de sacos de 60 Kg de café verde equivalente ,
Información definitiva,
Fuente: Federación Nacional de Cafeteros,
Volver,
,
month,export_by
Jan-58,337
Feb-58,450
Mar-58,383
Apr-58,334
May-58,331
Jun-58,340
Jul-58,485
Aug-58,483
Sep-58,754
Oct-58,534
Nov-58,562
Dec-58,448
Jan-59,443
Feb-59,483
Mar-59,384
Apr-59,490
May-59,598
Jun-59,502
Jul-59,557
Aug-59,604
Sep-59,828
Oct-59,428
Nov-59,600
Dec-59,497
Jan-60,439
Feb-60,540
Mar-60,381
Apr-60,387
May-60,412
Jun-60,348
Jul-60,369
Aug-60,447
Sep-60,823
Oct-60,525
Nov-60,609
Dec-60,658
Jan-61,463
Feb-61,528
Mar-61,245
Apr-61,527
May-61,444
Jun-61,505
Jul-61,437
Aug-61,473
Sep-61,624
Oct-61,412
Nov-61,495
Dec-61,497
Jan-62,373
Feb-62,460
Mar-62,367
Apr-62,415
May-62,496
Jun-62,647
Jul-62,531
Aug-62,713
Sep-62,"1,119"
Oct-62,411
Nov-62,495
Dec-62,534
Jan-63,310
Feb-63,253
Mar-63,472
Apr-63,560
May-63,471
Jun-63,470
Jul-63,557
Aug-63,752
Sep-63,770
Oct-63,882
Nov-63,449
Dec-63,187
Jan-64,554
Feb-64,614
Mar-64,444
Apr-64,760
May-64,579
Jun-64,196
Jul-64,429
Aug-64,401
Sep-64,815
Oct-64,434
Nov-64,665
Dec-64,520
Jan-65,275
Feb-65,465
Mar-65,490
Apr-65,440
May-65,482
Jun-65,519
Jul-65,527
Aug-65,705
Sep-65,221
Oct-65,547
Nov-65,557
Dec-65,424
Jan-66,487
Feb-66,571
Mar-66,273
Apr-66,658
May-66,481
Jun-66,344
Jul-66,473
Aug-66,532
Sep-66,517
Oct-66,173
Nov-66,434
Dec-66,621
Jan-67,323
Feb-67,524
Mar-67,458
Apr-67,396
May-67,511
Jun-67,539
Jul-67,506
Aug-67,631
Sep-67,517
Oct-67,509
Nov-67,493
Dec-67,688
Jan-68,556
Feb-68,585
Mar-68,380
Apr-68,570
May-68,499
Jun-68,601
Jul-68,618
Aug-68,665
Sep-68,431
Oct-68,468
Nov-68,589
Dec-68,624
Jan-69,239
Feb-69,477
Mar-69,657
Apr-69,404
May-69,648
Jun-69,705
