year,origin,export_val,import_val,dest
1962,colombia,0.0,13000.0,Cote d'Ivoire
1967,colombia,2000.0,0.0,Cote d'Ivoire
1968,colombia,3000.0,0.0,Cote d'Ivoire
1969,colombia,1000.0,0.0,Cote d'Ivoire
1970,colombia,3000.0,0.0,Cote d'Ivoire
1983,colombia,1000.0,0.0,Cote d'Ivoire
1999,colombia,34973.0,0.0,Cote d'Ivoire
2006,colombia,23572.0,0.0,Cote d'Ivoire
1962,colombia,5000.0,0.0,Morocco
1966,colombia,14000.0,0.0,Morocco
1967,colombia,8000.0,0.0,Morocco
1970,colombia,16000.0,0.0,Morocco
1971,colombia,10000.0,0.0,Morocco
1972,colombia,31000.0,0.0,Morocco
1973,colombia,17000.0,0.0,Morocco
1974,colombia,6000.0,0.0,Morocco
1975,colombia,25000.0,0.0,Morocco
1978,colombia,244000.0,0.0,Morocco
1979,colombia,512000.0,0.0,Morocco
1980,colombia,309000.0,0.0,Morocco
1981,colombia,266000.0,0.0,Morocco
1982,colombia,107000.0,0.0,Morocco
1986,colombia,133415.0,0.0,Morocco
1988,colombia,89300.0,0.0,Morocco
1989,colombia,25598.0,0.0,Morocco
1990,colombia,676403.0,0.0,Morocco
1991,colombia,193205.0,0.0,Morocco
1992,colombia,642908.0,0.0,Morocco
1993,colombia,43086.0,0.0,Morocco
1993,colombia,306838.0,0.0,Morocco
1994,colombia,103288.0,0.0,Morocco
1994,colombia,172804.0,0.0,Morocco
1995,colombia,118450.0,0.0,Morocco
1995,colombia,587516.0,0.0,Morocco
1996,colombia,153250.0,0.0,Morocco
1996,colombia,451975.0,0.0,Morocco
1997,colombia,238199.0,0.0,Morocco
1997,colombia,1278916.0,0.0,Morocco
1998,colombia,262000.0,0.0,Morocco
1998,colombia,1417000.0,0.0,Morocco
1999,colombia,112667.0,0.0,Morocco
1999,colombia,1001289.0,0.0,Morocco
2000,colombia,48496.0,0.0,Morocco
2000,colombia,657277.0,0.0,Morocco
2001,colombia,775608.0,0.0,Morocco
2002,colombia,882215.0,0.0,Morocco
2003,colombia,1192393.0,0.0,Morocco
2004,colombia,1063511.0,0.0,Morocco
2005,colombia,1724.0,0.0,Morocco
2005,colombia,1772588.0,0.0,Morocco
2006,colombia,494.0,0.0,Morocco
2006,colombia,2008917.0,0.0,Morocco
2007,colombia,339.0,0.0,Morocco
2007,colombia,1686343.0,0.0,Morocco
2008,colombia,1784.0,0.0,Morocco
2008,colombia,2583972.0,0.0,Morocco
2009,colombia,286.0,0.0,Morocco
2009,colombia,1240471.0,0.0,Morocco
2010,colombia,1307538.0,0.0,Morocco
2011,colombia,1533090.0,0.0,Morocco
2012,colombia,2503594.0,0.0,Morocco
