,date,excelso_price_cents_per_pound
1,1913-02-01,16.31
2,1913-03-01,15.69
3,1913-04-01,15.63
4,1913-05-01,15.56
5,1913-06-01,14.5
6,1913-07-01,14.44
7,1913-08-01,14.44
8,1913-09-01,15.38
9,1913-10-01,16.5
10,1913-11-01,15.94
11,1913-12-01,16.06
12,1914-01-01,16.94
13,1914-02-01,16.81
14,1914-03-01,16.75
15,1914-04-01,17.0
16,1914-05-01,17.75
17,1914-06-01,16.5
18,1914-07-01,16.25
19,1914-08-01,15.31
20,1914-09-01,13.38
21,1914-10-01,13.63
22,1914-11-01,13.88
23,1914-12-01,14.13
24,1915-01-01,15.13
25,1915-02-01,14.63
26,1915-03-01,15.25
27,1915-04-01,15.13
28,1915-05-01,14.56
29,1915-06-01,14.63
30,1915-07-01,14.63
31,1915-08-01,13.88
32,1915-09-01,13.75
33,1915-10-01,14.19
34,1915-11-01,14.19
35,1915-12-01,14.13
36,1916-01-01,15.0
37,1916-02-01,15.75
38,1916-03-01,15.69
39,1916-04-01,16.13
40,1916-05-01,15.25
41,1916-06-01,14.19
42,1916-07-01,13.88
43,1916-08-01,13.75
44,1916-09-01,13.56
45,1916-10-01,13.69
46,1916-11-01,12.88
47,1916-12-01,13.5
48,1917-01-01,13.63
49,1917-02-01,13.69
50,1917-03-01,13.0
51,1917-04-01,13.38
52,1917-05-01,13.38
53,1917-06-01,13.0
54,1917-07-01,12.38
55,1917-08-01,12.13
56,1917-09-01,11.88
57,1917-10-01,12.0
58,1917-11-01,12.75
59,1917-12-01,13.88
60,1918-01-01,14.5
61,1918-02-01,15.25
62,1918-03-01,15.13
63,1918-04-01,14.63
64,1918-05-01,14.5
65,1918-06-01,14.25
66,1918-07-01,14.13
67,1918-08-01,14.13
68,1918-09-01,15.81
69,1918-10-01,16.69
70,1918-11-01,22.75
71,1918-12-01,24.88
72,1919-01-01,22.25
73,1919-02-01,23.0
74,1919-03-01,23.25
75,1919-04-01,26.0
76,1919-05-01,28.38
77,1919-06-01,30.0
78,1919-07-01,30.5
79,1919-08-01,31.5
80,1919-09-01,28.0
81,1919-10-01,30.38
82,1919-11-01,30.0
83,1919-12-01,28.88
84,1920-01-01,28.75
85,1920-02-01,27.75
86,1920-03-01,28.38
87,1920-04-01,27.5
88,1920-05-01,27.25
89,1920-06-01,25.13
90,1920-07-01,21.38
91,1920-08-01,17.0
92,1920-09-01,13.88
93,1920-10-01,14.25
94,1920-11-01,13.5
95,1920-12-01,13.88
96,1921-01-01,16.25
97,1921-02-01,16.88
98,1921-03-01,16.25
99,1921-04-01,15.38
100,1921-05-01,15.13
101,1921-06-01,15.31
102,1921-07-01,14.81
103,1921-08-01,14.88
104,1921-09-01,15.88
105,1921-10-01,15.63
106,1921-11-01,15.25
107,1921-12-01,15.75
108,1922-01-01,15.5
109,1922-02-01,15.63
110,1922-03-01,17.25
111,1922-04-01,17.63
112,1922-05-01,17.13
113,1922-06-01,17.38
114,1922-07-01,17.38
115,1922-08-01,17.44
116,1922-09-01,18.06
117,1922-10-01,18.06
118,1922-11-01,18.5
119,1922-12-01,19.75
120,1923-01-01,22.38
121,1923-02-01,21.75
122,1923-03-01,20.88
123,1923-04-01,17.75
124,1923-05-01,17.38
125,1923-06-01,15.88
126,1923-07-01,15.63
127,1923-08-01,17.0
128,1923-09-01,18.0
129,1923-10-01,20.38
130,1923-11-01,18.75
131,1923-12-01,20.0
132,1924-01-01,21.0
133,1924-02-01,26.0
134,1924-03-01,26.25
135,1924-04-01,24.75
136,1924-05-01,22.5
137,1924-06-01,23.88
138,1924-07-01,25.25
139,1924-08-01,25.38
140,1924-09-01,26.25
141,1924-10-01,28.5
142,1924-11-01,21.38
143,1924-12-01,28.13
144,1925-01-01,28.5
145,1925-02-01,28.25
146,1925-03-01,27.25
147,1925-04-01,24.0
148,1925-05-01,26.63
149,1925-06-01,26.63
150,1925-07-01,24.38
151,1925-08-01,29.31
152,1925-09-01,25.63
153,1925-10-01,30.25
154,1925-11-01,30.0
155,1925-12-01,30.38
156,1926-01-01,31.38
157,1926-02-01,30.0
158,1926-03-01,28.75
159,1926-04-01,28.88
160,1926-05-01,29.88
161,1926-06-01,28.63
162,1926-07-01,29.75
163,1926-08-01,28.88
164,1926-09-01,27.75
165,1926-10-01,26.25
166,1926-11-01,26.5
167,1926-12-01,25.25
168,1927-01-01,24.38
169,1927-02-01,23.0
170,1927-03-01,23.75
171,1927-04-01,22.88
172,1927-05-01,22.25
173,1927-06-01,23.5
174,1927-07-01,24.5
175,1927-08-01,24.25
176,1927-09-01,26.63
177,1927-10-01,28.25
178,1927-11-01,28.38
179,1927-12-01,29.19
180,1928-01-01,29.24
181,1928-02-01,28.49
182,1928-03-01,28.04
183,1928-04-01,27.27
184,1928-05-01,27.72
185,1928-06-01,27.46
186,1928-07-01,27.54
187,1928-08-01,27.71
188,1928-09-01,27.3
189,1928-10-01,26.27
190,1928-11-01,25.41
191,1928-12-01,24.65
192,1929-01-01,25.12
193,1929-02-01,25.44
194,1929-03-01,24.95
195,1929-04-01,24.66
196,1929-05-01,24.33
197,1929-06-01,23.87
198,1929-07-01,23.48
199,1929-08-01,22.61
200,1929-09-01,23.29
201,1929-10-01,20.68
202,1929-11-01,18.72
203,1929-12-01,16.59
204,1930-01-01,19.32
205,1930-02-01,18.97
206,1930-03-01,18.25
207,1930-04-01,17.5
208,1930-05-01,17.4
209,1930-06-01,16.19
210,1930-07-01,15.8
211,1930-08-01,15.25
212,1930-09-01,16.31
213,1930-10-01,17.9
214,1930-11-01,16.77
215,1930-12-01,17.25
216,1931-01-01,17.87
217,1931-02-01,17.4
218,1931-03-01,17.25
219,1931-04-01,16.92
220,1931-05-01,16.39
221,1931-06-01,16.22
222,1931-07-01,15.82
223,1931-08-01,14.83
224,1931-09-01,14.59
225,1931-10-01,13.42
226,1931-11-01,13.3
227,1931-12-01,12.53
228,1932-01-01,12.08
229,1932-02-01,11.53
230,1932-03-01,10.88
231,1932-04-01,10.94
232,1932-05-01,11.35
233,1932-06-01,10.98
234,1932-07-01,10.54
235,1932-08-01,11.56
236,1932-09-01,13.42
237,1932-10-01,11.83
238,1932-11-01,10.64
239,1932-12-01,10.52
240,1933-01-01,10.2
241,1933-02-01,10.0
242,1933-03-01,10.31
243,1933-04-01,9.87
244,1933-05-01,10.26
245,1933-06-01,9.96
246,1933-07-01,10.49
247,1933-08-01,10.65
248,1933-09-01,10.86
249,1933-10-01,10.41
250,1933-11-01,11.11
251,1933-12-01,11.38
252,1934-01-01,12.77
253,1934-02-01,14.45
254,1934-03-01,14.67
255,1934-04-01,14.72
256,1934-05-01,14.13
257,1934-06-01,14.19
258,1934-07-01,13.35
259,1934-08-01,13.86
260,1934-09-01,13.78
261,1934-10-01,13.27
262,1934-11-01,12.78
263,1934-12-01,12.43
264,1935-01-01,11.97
265,1935-02-01,11.01
266,1935-03-01,10.16
267,1935-04-01,9.88
268,1935-05-01,9.79
269,1935-06-01,9.92
270,1935-07-01,9.82
271,1935-08-01,9.66
272,1935-09-01,10.18
273,1935-10-01,10.23
274,1935-11-01,10.02
275,1935-12-01,10.45
276,1936-01-01,11.43
277,1936-02-01,13.0
278,1936-03-01,11.53
279,1936-04-01,10.64
280,1936-05-01,10.4
281,1936-06-01,10.29
282,1936-07-01,10.85
283,1936-08-01,11.25
284,1936-09-01,10.87
285,1936-10-01,10.87
286,1936-11-01,11.64
287,1936-12-01,12.3
288,1937-01-01,12.46
289,1937-02-01,12.73
290,1937-03-01,12.72
291,1937-04-01,11.83
292,1937-05-01,11.93
293,1937-06-01,11.95
294,1937-07-01,11.63
295,1937-08-01,11.79
296,1937-09-01,11.57
297,1937-10-01,11.61
298,1937-11-01,9.99
299,1937-12-01,9.08
300,1938-01-01,9.64
301,1938-02-01,9.33
302,1938-03-01,9.3
303,1938-04-01,9.08
304,1938-05-01,10.05
305,1938-06-01,10.32
306,1938-07-01,10.98
307,1938-08-01,11.35
308,1938-09-01,11.68
309,1938-10-01,12.98
310,1938-11-01,13.88
311,1938-12-01,13.1
312,1939-01-01,12.31
313,1939-02-01,11.45
314,1939-03-01,11.04
315,1939-04-01,11.02
316,1939-05-01,12.28
317,1939-06-01,12.53
318,1939-07-01,12.2
319,1939-08-01,12.27
320,1939-09-01,12.34
321,1939-10-01,12.12
322,1939-11-01,10.9
323,1939-12-01,9.43
324,1940-01-01,9.07
325,1940-02-01,9.07
326,1940-03-01,8.99
327,1940-04-01,8.55
328,1940-05-01,7.83
329,1940-06-01,7.99
330,1940-07-01,7.93
331,1940-08-01,7.48
332,1940-09-01,7.51
333,1940-10-01,8.11
334,1940-11-01,8.52
335,1940-12-01,9.46
336,1941-01-01,10.43
337,1941-02-01,11.92
338,1941-03-01,13.47
339,1941-04-01,14.4
340,1941-05-01,15.28
341,1941-06-01,15.93
342,1941-07-01,15.88
343,1941-08-01,15.88
344,1941-09-01,15.88
345,1941-10-01,15.87
346,1941-11-01,15.97
347,1941-12-01,16.0
348,1942-01-01,15.87
349,1942-02-01,15.87
350,1942-03-01,15.87
351,1942-04-01,15.87
352,1942-05-01,15.87
353,1942-06-01,15.87
354,1942-07-01,15.87
355,1942-08-01,15.87
356,1942-09-01,15.87
357,1942-10-01,15.87
358,1942-11-01,15.87
359,1942-12-01,15.87
360,1943-01-01,15.87
361,1943-02-01,15.87
362,1943-03-01,15.87
363,1943-04-01,15.87
364,1943-05-01,15.87
365,1943-06-01,15.87
366,1943-07-01,15.87
367,1943-08-01,15.87
368,1943-09-01,15.87
369,1943-10-01,15.87
370,1943-11-01,15.87
371,1943-12-01,15.87
372,1944-01-01,15.87
373,1944-02-01,15.87
374,1944-03-01,15.87
375,1944-04-01,15.87
376,1944-05-01,15.87
377,1944-06-01,15.87
378,1944-07-01,15.87
379,1944-08-01,15.87
380,1944-09-01,15.87
381,1944-10-01,15.87
382,1944-11-01,15.87
383,1944-12-01,15.87
384,1945-01-01,15.87
385,1945-02-01,15.87
386,1945-03-01,15.87
387,1945-04-01,15.87
388,1945-05-01,15.87
389,1945-06-01,15.87
390,1945-07-01,15.87
391,1945-08-01,15.87
392,1945-09-01,15.87
393,1945-10-01,15.87
394,1945-11-01,17.07
395,1945-12-01,18.87
396,1946-01-01,18.87
397,1946-02-01,18.87
398,1946-03-01,18.87
399,1946-04-01,18.87
400,1946-05-01,18.87
401,1946-06-01,19.05
402,1946-07-01,20.87
403,1946-08-01,22.82
404,1946-09-01,24.12
405,1946-10-01,27.52
406,1946-11-01,30.9
407,1946-12-01,30.37
408,1947-01-01,30.5
409,1947-02-01,30.69
410,1947-03-01,30.67
411,1947-04-01,28.29
412,1947-05-01,26.49
413,1947-06-01,27.76
414,1947-07-01,27.97
415,1947-08-01,30.29
416,1947-09-01,31.06
417,1947-10-01,32.03
418,1947-11-01,32.86
419,1947-12-01,32.69
420,1948-01-01,32.51
421,1948-02-01,31.05
422,1948-03-01,31.25
423,1948-04-01,31.75
424,1948-05-01,31.75
425,1948-06-01,31.35
426,1948-07-01,31.43
427,1948-08-01,32.02
428,1948-09-01,32.62
429,1948-10-01,34.38
430,1948-11-01,36.9
431,1948-12-01,34.03
432,1949-01-01,33.04
433,1949-02-01,32.33
434,1949-03-01,32.27
435,1949-04-01,31.4
436,1949-05-01,32.48
437,1949-06-01,32.92
438,1949-07-01,33.64
439,1949-08-01,34.09
440,1949-09-01,35.81
441,1949-10-01,41.51
442,1949-11-01,56.66
443,1949-12-01,55.17
444,1950-01-01,53.9
445,1950-02-01,50.75
446,1950-03-01,49.13
447,1950-04-01,49.55
448,1950-05-01,48.25
449,1950-06-01,51.9
450,1950-07-01,54.5
451,1950-08-01,56.85
452,1950-09-01,59.2
453,1950-10-01,53.95
454,1950-11-01,54.2
455,1950-12-01,56.78
456,1951-01-01,59.4
457,1951-02-01,60.2
458,1951-03-01,59.4
459,1951-04-01,59.1
460,1951-05-01,59.41
461,1951-06-01,57.96
462,1951-07-01,57.18
463,1951-08-01,57.65
464,1951-09-01,58.11
465,1951-10-01,59.06
466,1951-11-01,59.25
467,1951-12-01,58.18
468,1952-01-01,58.35
469,1952-02-01,57.75
470,1952-03-01,57.3
471,1952-04-01,55.33
472,1952-05-01,56.42
473,1952-06-01,56.23
474,1952-07-01,56.75
475,1952-08-01,57.46
476,1952-09-01,58.29
477,1952-10-01,57.44
478,1952-11-01,56.88
479,1952-12-01,55.97
480,1953-01-01,55.68
481,1953-02-01,56.3
482,1953-03-01,59.1
483,1953-04-01,55.88
484,1953-05-01,55.65
485,1953-06-01,56.15
486,1953-07-01,58.75
487,1953-08-01,61.15
488,1953-09-01,63.92
489,1953-10-01,63.4
490,1953-11-01,65.4
491,1953-12-01,66.43
492,1954-01-01,71.8
493,1954-02-01,77.65
494,1954-03-01,91.4
495,1954-04-01,91.1
496,1954-05-01,85.1
497,1954-06-01,84.73
498,1954-07-01,83.94
499,1954-08-01,80.05
500,1954-09-01,74.37
501,1954-10-01,71.5
502,1954-11-01,75.95
503,1954-12-01,72.7
504,1955-01-01,70.85
505,1955-02-01,60.5
506,1955-03-01,59.27
507,1955-04-01,61.47
508,1955-05-01,59.0
509,1955-06-01,62.45
510,1955-07-01,61.56
511,1955-08-01,64.27
512,1955-09-01,72.03
513,1955-10-01,70.97
514,1955-11-01,68.21
515,1955-12-01,64.3
516,1956-01-01,66.0
517,1956-02-01,73.05
518,1956-03-01,70.75
519,1956-04-01,67.45
520,1956-05-01,70.8
521,1956-06-01,76.65
522,1956-07-01,78.15
523,1956-08-01,80.45
524,1956-09-01,81.08
525,1956-10-01,78.28
526,1956-11-01,74.7
527,1956-12-01,70.3
528,1957-01-01,72.4
529,1957-02-01,70.64
530,1957-03-01,68.14
531,1957-04-01,65.45
532,1957-05-01,66.33
533,1957-06-01,67.13
534,1957-07-01,63.5
535,1957-08-01,63.2
536,1957-09-01,58.85
537,1957-10-01,56.0
538,1957-11-01,57.4
539,1957-12-01,58.2
540,1958-01-01,56.8
541,1958-02-01,53.65
542,1958-03-01,54.18
543,1958-04-01,54.7
544,1958-05-01,54.38
545,1958-06-01,53.85
546,1958-07-01,52.93
547,1958-08-01,51.65
548,1958-09-01,50.25
549,1958-10-01,50.88
550,1958-11-01,48.73
551,1958-12-01,46.08
552,1959-01-01,46.68
553,1959-02-01,46.23
554,1959-03-01,45.08
555,1959-04-01,45.55
556,1959-05-01,44.83
557,1959-06-01,44.3
558,1959-07-01,44.8
559,1959-08-01,45.13
560,1959-09-01,45.83
561,1959-10-01,45.03
562,1959-11-01,45.18
563,1959-12-01,43.95
564,1960-01-01,45.68
