,month/year,thousands_of_60kg_bags_production
0,1956-01-01,693.0
1,1956-02-01,461.0
2,1956-03-01,339.0
3,1956-04-01,417.0
4,1956-05-01,644.0
5,1956-06-01,954.0
6,1956-07-01,1010.0
7,1956-08-01,484.0
8,1956-09-01,387.0
9,1956-10-01,279.0
10,1956-11-01,349.0
11,1956-12-01,738.0
12,1957-01-01,540.0
13,1957-02-01,360.0
14,1957-03-01,265.0
15,1957-04-01,325.0
16,1957-05-01,503.0
17,1957-06-01,744.0
18,1957-07-01,788.0
19,1957-08-01,378.0
20,1957-09-01,302.0
21,1957-10-01,359.0
22,1957-11-01,379.0
23,1957-12-01,494.0
24,1958-01-01,596.0
25,1958-02-01,532.0
26,1958-03-01,338.0
27,1958-04-01,502.0
28,1958-05-01,761.0
29,1958-06-01,974.0
30,1958-07-01,1024.0
31,1958-08-01,434.0
32,1958-09-01,277.0
33,1958-10-01,322.0
34,1958-11-01,407.0
35,1958-12-01,1118.0
36,1959-01-01,653.0
37,1959-02-01,361.0
38,1959-03-01,389.0
39,1959-04-01,450.0
40,1959-05-01,511.0
41,1959-06-01,934.0
42,1959-07-01,1114.0
43,1959-08-01,427.0
44,1959-09-01,523.0
45,1959-10-01,363.0
46,1959-11-01,527.0
47,1959-12-01,1186.0
48,1960-01-01,782.0
49,1960-02-01,449.0
50,1960-03-01,266.0
51,1960-04-01,264.0
52,1960-05-01,602.0
53,1960-06-01,881.0
54,1960-07-01,820.0
55,1960-08-01,557.0
56,1960-09-01,342.0
57,1960-10-01,357.0
58,1960-11-01,742.0
59,1960-12-01,1111.0
60,1961-01-01,766.0
61,1961-02-01,470.0
62,1961-03-01,400.0
63,1961-04-01,503.0
64,1961-05-01,706.0
65,1961-06-01,993.0
66,1961-07-01,556.0
67,1961-08-01,304.0
68,1961-09-01,305.0
69,1961-10-01,451.0
70,1961-11-01,736.0
71,1961-12-01,1074.0
72,1962-01-01,714.0
73,1962-02-01,527.0
74,1962-03-01,539.0
75,1962-04-01,392.0
76,1962-05-01,349.0
77,1962-06-01,658.0
78,1962-07-01,619.0
79,1962-08-01,378.0
80,1962-09-01,354.0
81,1962-10-01,697.0
82,1962-11-01,923.0
83,1962-12-01,983.0
84,1963-01-01,938.0
85,1963-02-01,352.0
86,1963-03-01,635.0
87,1963-04-01,445.0
88,1963-05-01,641.0
89,1963-06-01,1167.0
90,1963-07-01,709.0
91,1963-08-01,507.0
92,1963-09-01,456.0
93,1963-10-01,575.0
94,1963-11-01,440.0
95,1963-12-01,596.0
96,1964-01-01,568.0
97,1964-02-01,506.0
98,1964-03-01,349.0
99,1964-04-01,933.0
100,1964-05-01,975.0
101,1964-06-01,908.0
102,1964-07-01,943.0
103,1964-08-01,384.0
104,1964-09-01,386.0
105,1964-10-01,717.0
106,1964-11-01,833.0
107,1964-12-01,1145.0
108,1965-01-01,757.0
109,1965-02-01,750.0
110,1965-03-01,502.0
111,1965-04-01,566.0
112,1965-05-01,602.0
113,1965-06-01,621.0
114,1965-07-01,644.0
115,1965-08-01,328.0
116,1965-09-01,257.0
117,1965-10-01,644.0
118,1965-11-01,710.0
119,1965-12-01,852.0
120,1966-01-01,495.0
121,1966-02-01,878.0
122,1966-03-01,432.0
123,1966-04-01,715.0
124,1966-05-01,1227.0
125,1966-06-01,866.0
126,1966-07-01,711.0
127,1966-08-01,459.0
128,1966-09-01,293.0
129,1966-10-01,596.0
130,1966-11-01,1135.0
131,1966-12-01,856.0
132,1967-01-01,1067.0
133,1967-02-01,903.0
134,1967-03-01,442.0
135,1967-04-01,508.0
136,1967-05-01,647.0
137,1967-06-01,364.0
138,1967-07-01,362.0
139,1967-08-01,360.0
140,1967-09-01,269.0
141,1967-10-01,518.0
142,1967-11-01,772.0
143,1967-12-01,1044.0
144,1968-01-01,955.0
145,1968-02-01,763.0
146,1968-03-01,270.0
147,1968-04-01,286.0
148,1968-05-01,700.0
149,1968-06-01,710.0
150,1968-07-01,825.0
151,1968-08-01,753.0
152,1968-09-01,419.0
153,1968-10-01,520.0
154,1968-11-01,966.0
155,1968-12-01,887.0
156,1969-01-01,908.0
157,1969-02-01,604.0
158,1969-03-01,513.0
159,1969-04-01,741.0
160,1969-05-01,874.0
161,1969-06-01,598.0
162,1969-07-01,599.0
163,1969-08-01,198.0
164,1969-09-01,236.0
165,1969-10-01,387.0
166,1969-11-01,1086.0
167,1969-12-01,1099.0
168,1970-01-01,426.0
169,1970-02-01,483.0
170,1970-03-01,259.0
171,1970-04-01,1089.0
172,1970-05-01,976.0
173,1970-06-01,1141.0
174,1970-07-01,888.0
175,1970-08-01,350.0
176,1970-09-01,373.0
177,1970-10-01,466.0
178,1970-11-01,735.0
179,1970-12-01,1080.0
180,1971-01-01,814.0
181,1971-02-01,695.0
182,1971-03-01,581.0
183,1971-04-01,597.0
184,1971-05-01,659.0
185,1971-06-01,885.0
186,1971-07-01,524.0
187,1971-08-01,384.0
188,1971-09-01,383.0
189,1971-10-01,675.0
190,1971-11-01,477.0
191,1971-12-01,620.0
192,1972-01-01,616.0
193,1972-02-01,538.0
194,1972-03-01,398.0
195,1972-04-01,719.0
196,1972-05-01,434.0
197,1972-06-01,635.0
198,1972-07-01,319.0
199,1972-08-01,490.0
200,1972-09-01,597.0
201,1972-10-01,929.0
202,1972-11-01,930.0
203,1972-12-01,930.0
