date,excelso_price_cents_per_pound
1913-02-01,16.31
1913-03-01,15.69
1913-04-01,15.63
1913-05-01,15.56
1913-06-01,14.5
1913-07-01,14.44
1913-08-01,14.44
1913-09-01,15.38
1913-10-01,16.5
1913-11-01,15.94
1913-12-01,16.06
1914-01-01,16.94
1914-02-01,16.81
1914-03-01,16.75
1914-04-01,17.0
1914-05-01,17.75
1914-06-01,16.5
1914-07-01,16.25
1914-08-01,15.31
1914-09-01,13.38
1914-10-01,13.63
1914-11-01,13.88
1914-12-01,14.13
1915-01-01,15.13
1915-02-01,14.63
1915-03-01,15.25
1915-04-01,15.13
1915-05-01,14.56
1915-06-01,14.63
1915-07-01,14.63
1915-08-01,13.88
1915-09-01,13.75
1915-10-01,14.19
1915-11-01,14.19
1915-12-01,14.13
1916-01-01,15.0
1916-02-01,15.75
1916-03-01,15.69
1916-04-01,16.13
1916-05-01,15.25
1916-06-01,14.19
1916-07-01,13.88
1916-08-01,13.75
1916-09-01,13.56
1916-10-01,13.69
1916-11-01,12.88
1916-12-01,13.5
1917-01-01,13.63
1917-02-01,13.69
1917-03-01,13.0
1917-04-01,13.38
1917-05-01,13.38
1917-06-01,13.0
1917-07-01,12.38
1917-08-01,12.13
1917-09-01,11.88
1917-10-01,12.0
1917-11-01,12.75
1917-12-01,13.88
1918-01-01,14.5
1918-02-01,15.25
1918-03-01,15.13
1918-04-01,14.63
1918-05-01,14.5
1918-06-01,14.25
1918-07-01,14.13
1918-08-01,14.13
1918-09-01,15.81
1918-10-01,16.69
1918-11-01,22.75
1918-12-01,24.88
1919-01-01,22.25
1919-02-01,23.0
1919-03-01,23.25
1919-04-01,26.0
1919-05-01,28.38
1919-06-01,30.0
1919-07-01,30.5
1919-08-01,31.5
1919-09-01,28.0
1919-10-01,30.38
1919-11-01,30.0
1919-12-01,28.88
1920-01-01,28.75
1920-02-01,27.75
1920-03-01,28.38
1920-04-01,27.5
1920-05-01,27.25
1920-06-01,25.13
1920-07-01,21.38
1920-08-01,17.0
1920-09-01,13.88
1920-10-01,14.25
1920-11-01,13.5
1920-12-01,13.88
1921-01-01,16.25
1921-02-01,16.88
1921-03-01,16.25
1921-04-01,15.38
1921-05-01,15.13
1921-06-01,15.31
1921-07-01,14.81
1921-08-01,14.88
1921-09-01,15.88
1921-10-01,15.63
1921-11-01,15.25
1921-12-01,15.75
1922-01-01,15.5
1922-02-01,15.63
