month/year,thousands_of_60kg_bags_production
1956-01-01,693.0
1956-02-01,461.0
1956-03-01,339.0
1956-04-01,417.0
1956-05-01,644.0
1956-06-01,954.0
1956-07-01,1010.0
1956-08-01,484.0
1956-09-01,387.0
1956-10-01,279.0
1956-11-01,349.0
1956-12-01,738.0
1957-01-01,540.0
1957-02-01,360.0
1957-03-01,265.0
1957-04-01,325.0
1957-05-01,503.0
1957-06-01,744.0
1957-07-01,788.0
1957-08-01,378.0
1957-09-01,302.0
1957-10-01,359.0
1957-11-01,379.0
1957-12-01,494.0
1958-01-01,596.0
1958-02-01,532.0
1958-03-01,338.0
1958-04-01,502.0
1958-05-01,761.0
1958-06-01,974.0
1958-07-01,1024.0
1958-08-01,434.0
1958-09-01,277.0
1958-10-01,322.0
1958-11-01,407.0
1958-12-01,1118.0
1959-01-01,653.0
1959-02-01,361.0
1959-03-01,389.0
1959-04-01,450.0
1959-05-01,511.0
1959-06-01,934.0
1959-07-01,1114.0
1959-08-01,427.0
1959-09-01,523.0
1959-10-01,363.0
1959-11-01,527.0
1959-12-01,1186.0
1960-01-01,782.0
1960-02-01,449.0
1960-03-01,266.0
1960-04-01,264.0
1960-05-01,602.0
1960-06-01,881.0
1960-07-01,820.0
1960-08-01,557.0
1960-09-01,342.0
1960-10-01,357.0
1960-11-01,742.0
1960-12-01,1111.0
1961-01-01,766.0
1961-02-01,470.0
1961-03-01,400.0
1961-04-01,503.0
1961-05-01,706.0
1961-06-01,993.0
1961-07-01,556.0
1961-08-01,304.0
1961-09-01,305.0
1961-10-01,451.0
1961-11-01,736.0
1961-12-01,1074.0
1962-01-01,714.0
1962-02-01,527.0
1962-03-01,539.0
1962-04-01,392.0
1962-05-01,349.0
1962-06-01,658.0
1962-07-01,619.0
1962-08-01,378.0
1962-09-01,354.0
1962-10-01,697.0
1962-11-01,923.0
1962-12-01,983.0
1963-01-01,938.0
1963-02-01,352.0
1963-03-01,635.0
1963-04-01,445.0
1963-05-01,641.0
1963-06-01,1167.0
1963-07-01,709.0
1963-08-01,507.0
1963-09-01,456.0
