country_name,year,beginning_stockpile,coffee_type,production_month
Angola,1990/91,210.0,(R/A),April
Bolivia,1990/91,54.0,(A),April
Brazil,1990/91,26926.0,(A/R),April
Burundi,1990/91,77.0,(A),April
Ecuador,1990/91,723.963,(A/R),April
Indonesia,1990/91,1319.0,(R/A),April
Madagascar,1990/91,544.0,(R),April
Malawi,1990/91,20.0,(A),April
Papua New Guinea,1990/91,199.0,(A/R),April
Paraguay,1990/91,188.0,(A),April
Peru,1990/91,318.0,(A),April
Rwanda,1990/91,134.0,(A),April
Timor-Leste,1990/91,0.0,(A),April
Zimbabwe,1990/91,160.0,(A),April
"Congo, Rep. of",1990/91,12.0,(R),July
Cuba,1990/91,265.7,(A),July
Dominican Republic,1990/91,560.0,(A),July
Haiti,1990/91,47.0,(A),July
Philippines,1990/91,1223.0,(R/A),July
Tanzania,1990/91,450.0,(A/R),July
Zambia,1990/91,1.0,(A),July
Benin,1990/91,0.0,(R),October
Cameroon,1990/91,1344.0,(R/A),October
Central African Republic,1990/91,55.0,(R),October
Colombia,1990/91,6095.0,(A),October
"Congo, Dem. Rep. of",1990/91,116.0,(R/A),October
Costa Rica,1990/91,343.0,(A),October
Côte d'Ivoire,1990/91,4796.0,(R),October
El Salvador,1990/91,245.0,(A),October
Equatorial Guinea,1990/91,2.0,(R),October
Ethiopia,1990/91,2800.0,(A),October
Gabon,1990/91,2.0,(R),October
Ghana,1990/91,4.0,(R),October
Guatemala,1990/91,77.0,(A/R),October
Guinea,1990/91,45.0,(R),October
Guyana,1990/91,0.0,(R),October
Honduras,1990/91,101.198,(A),October
India,1990/91,826.0,(R/A),October
Jamaica,1990/91,0.0,(A),October
Kenya,1990/91,766.333,(A),October
"Lao, People's Dem. Rep. of",1990/91,0.0,(R),October
Liberia,1990/91,0.0,(R),October
Mexico,1990/91,974.0,(A),October
Nepal,1990/91,0.0,(A),October
Nicaragua,1990/91,56.0,(A),October
Nigeria,1990/91,0.0,(R),October
Panama,1990/91,18.0,(A),October
Sierra Leone,1990/91,127.0,(R),October
Sri Lanka,1990/91,10.0,(R),October
Thailand,1990/91,71.0,(R/A),October
Togo,1990/91,59.0,(R),October
Trinidad & Tobago,1990/91,5.0,(R),October
Uganda,1990/91,3100.0,(R/A),October
Venezuela,1990/91,142.0,(A),October
Vietnam,1990/91,181.0,(R/A),October
Yemen,1990/91,0.0,(A),October
Angola,1991/92,161.0,(R/A),April
Bolivia,1991/92,39.8,(A),April
Brazil,1991/92,25548.0,(A/R),April
Burundi,1991/92,150.0,(A),April
Ecuador,1991/92,250.0,(A/R),April
Indonesia,1991/92,798.0,(R/A),April
Madagascar,1991/92,450.0,(R),April
Malawi,1991/92,19.0,(A),April
Papua New Guinea,1991/92,146.0,(A/R),April
Paraguay,1991/92,135.0,(A),April
Peru,1991/92,61.0,(A),April
Rwanda,1991/92,9.0,(A),April
Timor-Leste,1991/92,0.0,(A),April
Zimbabwe,1991/92,118.2,(A),April
"Congo, Rep. of",1991/92,11.0,(R),July
Cuba,1991/92,289.0,(A),July
Dominican Republic,1991/92,640.0,(A),July
Haiti,1991/92,30.0,(A),July
Philippines,1991/92,1344.0,(R/A),July
Tanzania,1991/92,408.053,(A/R),July
Zambia,1991/92,0.0,(A),July
Benin,1991/92,0.0,(R),October
Cameroon,1991/92,1086.0,(R/A),October
Central African Republic,1991/92,59.0,(R),October
Colombia,1991/92,6916.0,(A),October
"Congo, Dem. Rep. of",1991/92,17.0,(R/A),October
Costa Rica,1991/92,120.0,(A),October
Côte d'Ivoire,1991/92,3352.0,(R),October
El Salvador,1991/92,512.3,(A),October
Equatorial Guinea,1991/92,4.0,(R),October
Ethiopia,1991/92,3660.0,(A),October
Gabon,1991/92,2.0,(R),October
Ghana,1991/92,10.0,(R),October
Guatemala,1991/92,244.557,(A/R),October
Guinea,1991/92,10.0,(R),October
Guyana,1991/92,0.0,(R),October
Honduras,1991/92,54.0,(A),October
India,1991/92,1277.0,(R/A),October
Jamaica,1991/92,0.0,(A),October
Kenya,1991/92,552.067,(A),October
"Lao, People's Dem. Rep. of",1991/92,0.0,(R),October
Liberia,1991/92,0.0,(R),October
Mexico,1991/92,748.0,(A),October
Nepal,1991/92,0.0,(A),October
Nicaragua,1991/92,63.162,(A),October
Nigeria,1991/92,0.0,(R),October
Panama,1991/92,40.0,(A),October
Sierra Leone,1991/92,74.0,(R),October
Sri Lanka,1991/92,6.0,(R),October
Thailand,1991/92,207.0,(R/A),October
Togo,1991/92,38.5,(R),October
Trinidad & Tobago,1991/92,0.0,(R),October
Uganda,1991/92,2900.0,(R/A),October
Venezuela,1991/92,350.0,(A),October
Vietnam,1991/92,195.0,(R/A),October
Yemen,1991/92,0.0,(A),October
Angola,1992/93,136.0,(R/A),April
Bolivia,1992/93,33.4,(A),April
Brazil,1992/93,22625.0,(A/R),April
Burundi,1992/93,53.108,(A),April
Ecuador,1992/93,552.207,(A/R),April
Indonesia,1992/93,2427.0,(R/A),April
Madagascar,1992/93,403.3,(R),April
Malawi,1992/93,19.0,(A),April
Papua New Guinea,1992/93,95.0,(A/R),April
Paraguay,1992/93,115.0,(A),April
Peru,1992/93,100.0,(A),April
Rwanda,1992/93,10.0,(A),April
Timor-Leste,1992/93,0.0,(A),April
Zimbabwe,1992/93,98.0,(A),April
"Congo, Rep. of",1992/93,11.0,(R),July
Cuba,1992/93,219.0,(A),July
Dominican Republic,1992/93,300.0,(A),July
Haiti,1992/93,30.0,(A),July
Philippines,1992/93,1554.0,(R/A),July
Tanzania,1992/93,386.772,(A/R),July
Zambia,1992/93,1.0,(A),July
Benin,1992/93,0.0,(R),October
Cameroon,1992/93,991.0,(R/A),October
Central African Republic,1992/93,64.0,(R),October
Colombia,1992/93,7864.0,(A),October
"Congo, Dem. Rep. of",1992/93,21.0,(R/A),October
Costa Rica,1992/93,229.345,(A),October
Côte d'Ivoire,1992/93,3574.0,(R),October
El Salvador,1992/93,354.43,(A),October
Equatorial Guinea,1992/93,2.0,(R),October
Ethiopia,1992/93,4652.0,(A),October
Gabon,1992/93,1.122,(R),October
Ghana,1992/93,43.0,(R),October
Guatemala,1992/93,153.317,(A/R),October
Guinea,1992/93,10.0,(R),October
Guyana,1992/93,0.0,(R),October
Honduras,1992/93,318.342,(A),October
India,1992/93,1253.0,(R/A),October
Jamaica,1992/93,8.0,(A),October
Kenya,1992/93,617.033,(A),October
"Lao, People's Dem. Rep. of",1992/93,0.0,(R),October
Liberia,1992/93,0.0,(R),October
Mexico,1992/93,985.0,(A),October
Nepal,1992/93,0.0,(A),October
Nicaragua,1992/93,39.6,(A),October
Nigeria,1992/93,0.0,(R),October
Panama,1992/93,60.832,(A),October
Sierra Leone,1992/93,45.0,(R),October
Sri Lanka,1992/93,1.0,(R),October
Thailand,1992/93,273.0,(R/A),October
Togo,1992/93,154.0,(R),October
Trinidad & Tobago,1992/93,4.293,(R),October
Uganda,1992/93,2900.0,(R/A),October
Venezuela,1992/93,362.545,(A),October
Vietnam,1992/93,85.0,(R/A),October
Yemen,1992/93,0.0,(A),October
Angola,1993/94,111.0,(R/A),April
Bolivia,1993/94,25.2,(A),April
Brazil,1993/94,28921.0,(A/R),April
Burundi,1993/94,0.0,(A),April
Ecuador,1993/94,100.0,(A/R),April
Indonesia,1993/94,1562.0,(R/A),April
Madagascar,1993/94,455.333,(R),April
Malawi,1993/94,25.0,(A),April
Papua New Guinea,1993/94,49.0,(A/R),April
Paraguay,1993/94,105.0,(A),April
Peru,1993/94,500.0,(A),April
Rwanda,1993/94,6.0,(A),April
Timor-Leste,1993/94,0.0,(A),April
Zimbabwe,1993/94,53.243,(A),April
