country_name,year,cents_per_lbs,Unnamed: 29
Colombia,1990,69.523,Colombian Milds
Kenya,1990,60.5721,Colombian Milds
Tanzania,1990,40.8183,Colombian Milds
Tanzania,1990,40.8183,Robustas
Bolivia,1990,51.7802,Other Milds
Burundi,1990,58.0195,Other Milds
Burundi,1990,58.0195,Robustas
Cameroon,1990,32.2852,Other Milds
Cameroon,1990,32.2852,Robustas
"Congo, Dem. Rep. of",1990,,Other Milds
"Congo, Dem. Rep. of",1990,,Robustas
Costa Rica,1990,58.4893,Other Milds
Cuba,1990,171.4282,Other Milds
Dominican Republic,1990,66.055,Other Milds
Ecuador,1990,35.2113,Other Milds
Ecuador,1990,35.2113,Robustas
El Salvador,1990,50.5636,Other Milds
Guatemala,1990,54.5845,Other Milds
Haiti,1990,41.2845,Other Milds
Honduras,1990,50.3496,Other Milds
India,1990,66.7522,Other Milds
India,1990,66.7522,Robustas
Jamaica,1990,171.5513,Other Milds
Madagascar,1990,,Other Milds
Madagascar,1990,,Robustas
Malawi,1990,84.873,Other Milds
Mexico,1990,79.5617,Other Milds
Nicaragua,1990,4.3963,Other Milds
Panama,1990,49.304,Other Milds
Papua New Guinea,1990,65.5004,Other Milds
Papua New Guinea,1990,65.5004,Robustas
Peru,1990,90.3729,Other Milds
Rwanda,1990,74.2047,Other Milds
Sri Lanka,1990,,Other Milds
Sri Lanka,1990,,Robustas
Uganda,1990,15.2932,Other Milds
Uganda,1990,15.2932,Robustas
"Venezuela, Bol. Rep. of",1990,,Other Milds
Zambia,1990,89.7541,Other Milds
Zimbabwe ,1990,,Other Milds
Angola,1990,,Brazilian Naturals
Angola,1990,,Robustas
Brazil,1990,54.3248,Brazilian Naturals
Brazil,1990,54.3248,Robustas
Ethiopia,1990,61.09,Brazilian Naturals
Indonesia,1990,,Brazilian Naturals
Indonesia,1990,,Robustas
Philippines,1990,,Brazilian Naturals
Philippines,1990,,Robustas
Thailand,1990,,Brazilian Naturals
Thailand,1990,,Robustas
Vietnam,1990,,Brazilian Naturals
Vietnam,1990,,Robustas
Angola,1990,85.6569,Brazilian Naturals
Angola,1990,85.6569,Robustas
Benin,1990,53.7609,Robustas
Brazil,1990,34.8486,Brazilian Naturals
Brazil,1990,34.8486,Robustas
Burundi,1990,,Other Milds
Burundi,1990,,Robustas
Cameroon,1990,28.3337,Other Milds
Cameroon,1990,28.3337,Robustas
Central African Republic,1990,36.7471,Robustas
"Congo, Dem. Rep. of",1990,4.5201,Other Milds
"Congo, Dem. Rep. of",1990,4.5201,Robustas
"Congo, Rep. of",1990,19.2087,Robustas
Côte d'Ivoire,1990,33.4064,Robustas
Ecuador,1990,19.0602,Other Milds
Ecuador,1990,19.0602,Robustas
Gabon,1990,43.4284,Robustas
Ghana,1990,,Robustas
Guinea,1990,34.3722,Robustas
India,1990,44.3451,Other Milds
India,1990,44.3451,Robustas
Indonesia,1990,29.6807,Brazilian Naturals
Indonesia,1990,29.6807,Robustas
Liberia,1990,,Robustas
Madagascar,1990,32.4545,Other Milds
Madagascar,1990,32.4545,Robustas
Nigeria,1990,70.5228,Robustas
Papua New Guinea,1990,26.5984,Other Milds
Papua New Guinea,1990,26.5984,Robustas
Philippines,1990,34.2253,Brazilian Naturals
Philippines,1990,34.2253,Robustas
Sierra Leone,1990,26.1686,Robustas
Sri Lanka,1990,26.8959,Other Milds
Sri Lanka,1990,26.8959,Robustas
Tanzania,1990,17.007,Colombian Milds
Tanzania,1990,17.007,Robustas
Thailand,1990,37.7181,Brazilian Naturals
Thailand,1990,37.7181,Robustas
Togo,1990,29.2306,Robustas
Trinidad & Tobago,1990,62.5882,Robustas
Uganda,1990,7.5418,Other Milds
Uganda,1990,7.5418,Robustas
Vietnam,1990,36.9183,Brazilian Naturals
Vietnam,1990,36.9183,Robustas
© International Coffee Organization,1990,,
Colombia,1991,67.1251,Colombian Milds
Kenya,1991,50.6778,Colombian Milds
Tanzania,1991,49.5039,Colombian Milds
Tanzania,1991,49.5039,Robustas
Bolivia,1991,52.423,Other Milds
Burundi,1991,55.0206,Other Milds
Burundi,1991,55.0206,Robustas
Cameroon,1991,28.2347,Other Milds
Cameroon,1991,28.2347,Robustas
"Congo, Dem. Rep. of",1991,,Other Milds
"Congo, Dem. Rep. of",1991,,Robustas
Costa Rica,1991,52.7258,Other Milds
Cuba,1991,171.4282,Other Milds
Dominican Republic,1991,62.6429,Other Milds
Ecuador,1991,36.1803,Other Milds
Ecuador,1991,36.1803,Robustas
El Salvador,1991,44.5445,Other Milds
Guatemala,1991,57.5349,Other Milds
Haiti,1991,23.9888,Other Milds
Honduras,1991,56.1243,Other Milds
India,1991,61.5342,Other Milds
India,1991,61.5342,Robustas
Jamaica,1991,227.4241,Other Milds
Madagascar,1991,,Other Milds
Madagascar,1991,,Robustas
Malawi,1991,70.9354,Other Milds
Mexico,1991,86.5563,Other Milds
Nicaragua,1991,44.137,Other Milds
Panama,1991,47.2497,Other Milds
Papua New Guinea,1991,64.5333,Other Milds
Papua New Guinea,1991,64.5333,Robustas
Peru,1991,,Other Milds
Rwanda,1991,50.3764,Other Milds
Sri Lanka,1991,,Other Milds
Sri Lanka,1991,,Robustas
Uganda,1991,29.6408,Other Milds
Uganda,1991,29.6408,Robustas
"Venezuela, Bol. Rep. of",1991,,Other Milds
Zambia,1991,70.3159,Other Milds
Zimbabwe ,1991,,Other Milds
Angola,1991,,Brazilian Naturals
Angola,1991,,Robustas
Brazil,1991,43.9931,Brazilian Naturals
Brazil,1991,43.9931,Robustas
Ethiopia,1991,68.1911,Brazilian Naturals
Indonesia,1991,,Brazilian Naturals
Indonesia,1991,,Robustas
Philippines,1991,,Brazilian Naturals
Philippines,1991,,Robustas
Thailand,1991,,Brazilian Naturals
Thailand,1991,,Robustas
Vietnam,1991,,Brazilian Naturals
Vietnam,1991,,Robustas
Angola,1991,91.1153,Brazilian Naturals
Angola,1991,91.1153,Robustas
Benin,1991,22.8961,Robustas
Brazil,1991,27.4947,Brazilian Naturals
Brazil,1991,27.4947,Robustas
Burundi,1991,,Other Milds
Burundi,1991,,Robustas
Cameroon,1991,25.0078,Other Milds
Cameroon,1991,25.0078,Robustas
Central African Republic,1991,36.6398,Robustas
"Congo, Dem. Rep. of",1991,,Other Milds
"Congo, Dem. Rep. of",1991,,Robustas
"Congo, Rep. of",1991,18.5542,Robustas
Côte d'Ivoire,1991,32.2682,Robustas
Ecuador,1991,17.8351,Other Milds
Ecuador,1991,17.8351,Robustas
Gabon,1991,43.5841,Robustas
Ghana,1991,,Robustas
Guinea,1991,30.2467,Robustas
India,1991,40.6472,Other Milds
India,1991,40.6472,Robustas
Indonesia,1991,29.9209,Brazilian Naturals
Indonesia,1991,29.9209,Robustas
Liberia,1991,,Robustas
Madagascar,1991,22.7618,Other Milds
Madagascar,1991,22.7618,Robustas
Nigeria,1991,59.0325,Robustas
Papua New Guinea,1991,29.4778,Other Milds
Papua New Guinea,1991,29.4778,Robustas
Philippines,1991,34.6061,Brazilian Naturals
Philippines,1991,34.6061,Robustas
Sierra Leone,1991,,Robustas
Sri Lanka,1991,25.2906,Other Milds
Sri Lanka,1991,25.2906,Robustas
Tanzania,1991,17.1071,Colombian Milds
Tanzania,1991,17.1071,Robustas
Thailand,1991,18.3728,Brazilian Naturals
