country_name,year,dollars_per_lbs
   Austria,1990,4.9
   Belgium,1990,3.27
   Bulgaria,1990,
   Cyprus,1990,2.83
   Czech Republic,1990,
   Denmark,1990,3.81
   Finland,1990,2.98
   France,1990,3.73
   Germany,1990,3.99
   Hungary,1990,
   Italy,1990,5.31
   Latvia,1990,
   Lithuania,1990,
   Luxembourg,1990,
   Malta 1,1990,
   Netherlands,1990,3.03
   Poland,1990,
   Portugal,1990,4.12
   Slovakia,1990,
   Slovenia,1990,
   Spain,1990,3.62
   Sweden,1990,3.43
   United Kingdom 1,1990,10.55
Japan,1990,10.26
Norway,1990,3.31
Russian Federation,1990,
Switzerland,1990,4.83
USA,1990,2.97
   Austria,1991,4.57
   Belgium,1991,2.92
   Bulgaria,1991,
   Cyprus,1991,2.8
   Czech Republic,1991,
   Denmark,1991,3.67
   Finland,1991,2.72
   France,1991,3.43
   Germany,1991,3.84
   Hungary,1991,
   Italy,1991,5.62
   Latvia,1991,
   Lithuania,1991,
   Luxembourg,1991,
   Malta 1,1991,
   Netherlands,1991,2.95
   Poland,1991,
   Portugal,1991,4.27
   Slovakia,1991,
   Slovenia,1991,
   Spain,1991,3.5
   Sweden,1991,3.29
   United Kingdom 1,1991,10.41
Japan,1991,11.88
Norway,1991,3.16
Russian Federation,1991,
Switzerland,1991,4.36
USA,1991,2.81
   Austria,1992,4.99
   Belgium,1992,3.05
   Bulgaria,1992,
   Cyprus,1992,2.87
   Czech Republic,1992,
   Denmark,1992,3.79
   Finland,1992,2.46
   France,1992,2.31
   Germany,1992,4.0
   Hungary,1992,
   Italy,1992,5.86
   Latvia,1992,
   Lithuania,1992,
   Luxembourg,1992,
   Malta 1,1992,
   Netherlands,1992,3.13
   Poland,1992,
   Portugal,1992,4.95
   Slovakia,1992,
   Slovenia,1992,
   Spain,1992,3.5
   Sweden,1992,3.11
   United Kingdom 1,1992,10.09
Japan,1992,12.62
Norway,1992,3.12
Russian Federation,1992,
Switzerland,1992,4.52
USA,1992,2.58
   Austria,1993,4.97
   Belgium,1993,2.78
   Bulgaria,1993,
   Cyprus,1993,2.6
   Czech Republic,1993,
   Denmark,1993,3.48
   Finland,1993,1.94
   France,1993,2.03
   Germany,1993,3.62
   Hungary,1993,
   Italy,1993,4.59
   Latvia,1993,1.84
   Lithuania,1993,
   Luxembourg,1993,
   Malta 1,1993,
   Netherlands,1993,2.8
   Poland,1993,
   Portugal,1993,4.27
   Slovakia,1993,
   Slovenia,1993,
   Spain,1993,2.79
   Sweden,1993,2.65
   United Kingdom 1,1993,8.44
Japan,1993,14.57
Norway,1993,2.46
Russian Federation,1993,
Switzerland,1993,4.27
USA,1993,2.47
   Austria,1994,4.58
   Belgium,1994,3.42
   Bulgaria,1994,
   Cyprus,1994,3.18
   Czech Republic,1994,
   Denmark,1994,4.45
   Finland,1994,2.73
   France,1994,2.4
   Germany,1994,4.18
   Hungary,1994,3.88
   Italy,1994,4.68
   Latvia,1994,2.21
   Lithuania,1994,
   Luxembourg,1994,
   Malta 1,1994,
   Netherlands,1994,3.26
   Poland,1994,
   Portugal,1994,4.38
   Slovakia,1994,
   Slovenia,1994,
   Spain,1994,2.76
   Sweden,1994,3.79
   United Kingdom 1,1994,11.36
Japan,1994,14.69
Norway,1994,3.29
Russian Federation,1994,
Switzerland,1994,4.5
USA,1994,3.4
   Austria,1995,5.18
   Belgium,1995,4.88
   Bulgaria,1995,
