country_name,year,value
   Austria,1990,1880.0
   Belgium,1990,
   Belgium/Luxembourg,1990,2015.0
   Bulgaria,1990,268.0
   Croatia,1990,
   Cyprus,1990,50.0
   Czech Republic,1990,659.0
   Denmark,1990,959.0
   Estonia,1990,
   Finland,1990,1095.0
   France,1990,6301.0
   Germany,1990,13671.0
   Greece,1990,642.0
   Hungary,1990,574.0
   Ireland,1990,129.0
   Italy,1990,5242.0
   Latvia,1990,
   Lithuania,1990,
   Luxembourg,1990,
   Malta,1990,21.0
   Netherlands,1990,3128.0
   Poland,1990,435.0
   Portugal,1990,552.0
   Romania,1990,442.0
   Slovakia,1990,
   Slovenia,1990,
   Spain,1990,3053.0
   Sweden,1990,1767.0
   United Kingdom,1990,2898.0
Japan,1990,5330.0
Norway,1990,742.0
Russian Federation,1990,
Switzerland,1990,1171.0
Tunisia,1990,101.0
USA,1990,21007.0
   Austria,1991,2058.0
   Belgium,1991,
   Belgium/Luxembourg,1991,1746.0
   Bulgaria,1991,200.0
   Croatia,1991,
   Cyprus,1991,54.0
   Czech Republic,1991,525.0
   Denmark,1991,983.0
   Estonia,1991,
   Finland,1991,1033.0
   France,1991,6553.0
   Germany,1991,13229.0
   Greece,1991,407.0
   Hungary,1991,641.0
   Ireland,1991,118.0
   Italy,1991,4630.0
   Latvia,1991,
   Lithuania,1991,
   Luxembourg,1991,
   Malta,1991,16.0
   Netherlands,1991,3121.0
   Poland,1991,250.0
   Portugal,1991,557.0
   Romania,1991,335.0
   Slovakia,1991,
   Slovenia,1991,
   Spain,1991,2970.0
   Sweden,1991,1717.0
   United Kingdom,1991,2806.0
Japan,1991,5510.0
Norway,1991,761.0
Russian Federation,1991,
Switzerland,1991,1130.0
Tunisia,1991,90.0
USA,1991,19840.0
   Austria,1992,2206.0
   Belgium,1992,
   Belgium/Luxembourg,1992,1828.0
   Bulgaria,1992,182.0
   Croatia,1992,168.0
   Cyprus,1992,41.0
   Czech Republic,1992,475.0
   Denmark,1992,1062.0
   Estonia,1992,16.0
   Finland,1992,1055.0
   France,1992,6612.0
   Germany,1992,13789.0
   Greece,1992,349.0
   Hungary,1992,522.0
   Ireland,1992,95.0
   Italy,1992,4595.0
   Latvia,1992,20.0
   Lithuania,1992,2.0
   Luxembourg,1992,
   Malta,1992,18.0
   Netherlands,1992,3205.0
   Poland,1992,1787.0
   Portugal,1992,591.0
   Romania,1992,603.0
   Slovakia,1992,
   Slovenia,1992,123.0
   Spain,1992,3414.0
   Sweden,1992,1772.0
   United Kingdom,1992,3088.0
Japan,1992,5326.0
Norway,1992,739.0
Russian Federation,1992,1382.0
Switzerland,1992,1101.0
Tunisia,1992,111.0
USA,1992,22939.0
   Austria,1993,1836.0
   Belgium,1993,
   Belgium/Luxembourg,1993,2063.0
   Bulgaria,1993,397.0
   Croatia,1993,163.0
   Cyprus,1993,77.0
   Czech Republic,1993,514.0
   Denmark,1993,994.0
   Estonia,1993,51.0
   Finland,1993,1301.0
   France,1993,6334.0
   Germany,1993,14107.0
   Greece,1993,375.0
   Hungary,1993,668.0
   Ireland,1993,111.0
   Italy,1993,5594.0
   Latvia,1993,60.0
   Lithuania,1993,9.0
   Luxembourg,1993,
   Malta,1993,23.0
   Netherlands,1993,2804.0
   Poland,1993,1670.0
   Portugal,1993,666.0
   Romania,1993,425.0
   Slovakia,1993,288.0
   Slovenia,1993,152.0
   Spain,1993,2813.0
   Sweden,1993,1757.0
   United Kingdom,1993,3197.0
Japan,1993,5691.0
Norway,1993,693.0
Russian Federation,1993,1795.0
Switzerland,1993,1060.0
Tunisia,1993,101.0
USA,1993,19329.0
   Austria,1994,1417.0
   Belgium,1994,
   Belgium/Luxembourg,1994,2262.0
   Bulgaria,1994,463.0
   Croatia,1994,193.0
   Cyprus,1994,52.0
   Czech Republic,1994,554.0
   Denmark,1994,1033.0
   Estonia,1994,83.0
   Finland,1994,1361.0
   France,1994,6369.0
   Germany,1994,13583.0
   Greece,1994,502.0
   Hungary,1994,771.0
   Ireland,1994,131.0
   Italy,1994,5554.0
   Latvia,1994,23.0
   Lithuania,1994,47.0
   Luxembourg,1994,
   Malta,1994,13.0
   Netherlands,1994,2800.0
   Poland,1994,1843.0
   Portugal,1994,664.0
   Romania,1994,347.0
   Slovakia,1994,257.0
   Slovenia,1994,159.0
   Spain,1994,3028.0
   Sweden,1994,1893.0
   United Kingdom,1994,3466.0
Japan,1994,6217.0
Norway,1994,806.0
Russian Federation,1994,1726.0
Switzerland,1994,1099.0
Tunisia,1994,137.0
USA,1994,16171.0
   Austria,1995,1231.0
   Belgium,1995,
   Belgium/Luxembourg,1995,2401.0
   Bulgaria,1995,515.0
   Croatia,1995,320.0
   Cyprus,1995,44.0
   Czech Republic,1995,553.0
   Denmark,1995,877.0
   Estonia,1995,107.0
   Finland,1995,769.0
   France,1995,6214.0
   Germany,1995,12852.0
   Greece,1995,523.0
   Hungary,1995,520.0
   Ireland,1995,115.0
   Italy,1995,5388.0
   Latvia,1995,30.0
   Lithuania,1995,113.0
   Luxembourg,1995,
   Malta,1995,23.0
   Netherlands,1995,2910.0
   Poland,1995,1771.0
   Portugal,1995,633.0
   Romania,1995,551.0
   Slovakia,1995,250.0
   Slovenia,1995,148.0
   Spain,1995,3146.0
   Sweden,1995,1420.0
   United Kingdom,1995,2807.0
Japan,1995,5489.0
Norway,1995,662.0
Russian Federation,1995,1728.0
Switzerland,1995,1017.0
Tunisia,1995,137.0
USA,1995,17107.0
   Austria,1996,1210.0
   Belgium,1996,
   Belgium/Luxembourg,1996,2526.0
   Bulgaria,1996,272.0
   Croatia,1996,322.0
   Cyprus,1996,52.0
   Czech Republic,1996,525.0
   Denmark,1996,1006.0
   Estonia,1996,117.0
   Finland,1996,992.0
   France,1996,6660.0
   Germany,1996,13507.0
   Greece,1996,766.0
   Hungary,1996,603.0
   Ireland,1996,98.0
   Italy,1996,5608.0
   Latvia,1996,66.0
   Lithuania,1996,150.0
   Luxembourg,1996,
   Malta,1996,9.0
   Netherlands,1996,3084.0
   Poland,1996,1924.0
   Portugal,1996,743.0
   Romania,1996,697.0
   Slovakia,1996,261.0
   Slovenia,1996,175.0
   Spain,1996,3515.0
   Sweden,1996,1522.0
   United Kingdom,1996,2903.0
Japan,1996,5994.0
Norway,1996,720.0
Russian Federation,1996,1128.0
Switzerland,1996,1112.0
Tunisia,1996,144.0
USA,1996,19445.0
   Austria,1997,1294.0
   Belgium,1997,
   Belgium/Luxembourg,1997,2544.0
   Bulgaria,1997,294.0
   Croatia,1997,385.0
   Cyprus,1997,41.0
   Czech Republic,1997,560.0
   Denmark,1997,949.0
   Estonia,1997,141.0
   Finland,1997,1186.0
   France,1997,6704.0
   Germany,1997,13905.0
   Greece,1997,789.0
