country_name,year,value
   Austria,1990,415.0
   Belgium,1990,
   Belgium/Luxembourg,1990,891.0
   Bulgaria,1990,166.0
   Croatia,1990,
   Cyprus,1990,16.0
   Czech Republic,1990,0.0
   Denmark,1990,94.0
   Estonia,1990,
   Finland,1990,19.0
   France,1990,913.0
   Germany,1990,3292.0
   Greece,1990,11.0
   Hungary,1990,0.0
   Ireland,1990,10.0
   Italy,1990,383.0
   Latvia,1990,
   Lithuania,1990,
   Luxembourg,1990,
   Malta,1990,1.0
   Netherlands,1990,585.0
   Poland,1990,100.0
   Portugal,1990,31.0
   Romania,1990,0.0
   Slovakia,1990,
   Slovenia,1990,
   Spain,1990,265.0
   Sweden,1990,77.0
   United Kingdom,1990,482.0
Japan,1990,20.0
Norway,1990,8.0
Russian Federation,1990,
Switzerland,1990,166.0
Tunisia,1990,0.0
USA,1990,825.0
   Austria,1991,756.0
   Belgium,1991,
   Belgium/Luxembourg,1991,1038.0
   Bulgaria,1991,183.0
   Croatia,1991,
   Cyprus,1991,7.0
   Czech Republic,1991,0.0
   Denmark,1991,74.0
   Estonia,1991,
   Finland,1991,21.0
   France,1991,1007.0
   Germany,1991,3252.0
   Greece,1991,20.0
   Hungary,1991,261.0
   Ireland,1991,5.0
   Italy,1991,402.0
   Latvia,1991,
   Lithuania,1991,
   Luxembourg,1991,
   Malta,1991,3.0
   Netherlands,1991,633.0
   Poland,1991,7.0
   Portugal,1991,34.0
   Romania,1991,0.0
   Slovakia,1991,
   Slovenia,1991,
   Spain,1991,268.0
   Sweden,1991,114.0
   United Kingdom,1991,485.0
Japan,1991,34.0
Norway,1991,4.0
Russian Federation,1991,
Switzerland,1991,151.0
Tunisia,1991,0.0
USA,1991,1010.0
   Austria,1992,960.0
   Belgium,1992,
   Belgium/Luxembourg,1992,1131.0
   Bulgaria,1992,7.0
   Croatia,1992,34.0
   Cyprus,1992,4.0
   Czech Republic,1992,3.0
   Denmark,1992,103.0
   Estonia,1992,3.0
   Finland,1992,35.0
   France,1992,1023.0
   Germany,1992,3318.0
   Greece,1992,29.0
   Hungary,1992,174.0
   Ireland,1992,4.0
   Italy,1992,465.0
   Latvia,1992,1.0
   Lithuania,1992,0.0
   Luxembourg,1992,
   Malta,1992,2.0
   Netherlands,1992,648.0
   Poland,1992,137.0
   Portugal,1992,40.0
   Romania,1992,3.0
   Slovakia,1992,
   Slovenia,1992,7.0
   Spain,1992,287.0
   Sweden,1992,138.0
   United Kingdom,1992,570.0
Japan,1992,27.0
Norway,1992,3.0
Russian Federation,1992,5.0
Switzerland,1992,155.0
Tunisia,1992,0.0
USA,1992,1377.0
   Austria,1993,535.0
   Belgium,1993,
   Belgium/Luxembourg,1993,1274.0
   Bulgaria,1993,70.0
   Croatia,1993,31.0
   Cyprus,1993,2.0
   Czech Republic,1993,66.0
   Denmark,1993,103.0
   Estonia,1993,7.0
   Finland,1993,198.0
   France,1993,976.0
   Germany,1993,3282.0
   Greece,1993,227.0
   Hungary,1993,111.0
   Ireland,1993,3.0
   Italy,1993,664.0
   Latvia,1993,18.0
   Lithuania,1993,0.0
   Luxembourg,1993,
   Malta,1993,1.0
   Netherlands,1993,425.0
   Poland,1993,126.0
   Portugal,1993,38.0
   Romania,1993,6.0
   Slovakia,1993,13.0
   Slovenia,1993,5.0
   Spain,1993,168.0
   Sweden,1993,138.0
   United Kingdom,1993,629.0
Japan,1993,34.0
Norway,1993,3.0
Russian Federation,1993,0.0
Switzerland,1993,166.0
Tunisia,1993,0.0
USA,1993,1720.0
   Austria,1994,381.0
   Belgium,1994,
   Belgium/Luxembourg,1994,1304.0
   Bulgaria,1994,110.0
   Croatia,1994,30.0
   Cyprus,1994,1.0
   Czech Republic,1994,45.0
   Denmark,1994,125.0
   Estonia,1994,20.0
   Finland,1994,217.0
   France,1994,1165.0
   Germany,1994,3469.0
   Greece,1994,146.0
   Hungary,1994,47.0
   Ireland,1994,3.0
   Italy,1994,786.0
   Latvia,1994,17.0
   Lithuania,1994,10.0
   Luxembourg,1994,
   Malta,1994,2.0
   Netherlands,1994,678.0
   Poland,1994,100.0
   Portugal,1994,52.0
   Romania,1994,0.0
   Slovakia,1994,23.0
   Slovenia,1994,7.0
   Spain,1994,237.0
   Sweden,1994,224.0
   United Kingdom,1994,817.0
Japan,1994,27.0
Norway,1994,6.0
Russian Federation,1994,14.0
Switzerland,1994,196.0
Tunisia,1994,0.0
USA,1994,2572.0
   Austria,1995,229.0
   Belgium,1995,
   Belgium/Luxembourg,1995,1328.0
   Bulgaria,1995,122.0
   Croatia,1995,32.0
   Cyprus,1995,1.0
   Czech Republic,1995,42.0
   Denmark,1995,119.0
   Estonia,1995,25.0
   Finland,1995,97.0
   France,1995,1081.0
   Germany,1995,3220.0
   Greece,1995,139.0
   Hungary,1995,72.0
   Ireland,1995,8.0
   Italy,1995,749.0
   Latvia,1995,15.0
   Lithuania,1995,45.0
   Luxembourg,1995,
   Malta,1995,1.0
   Netherlands,1995,617.0
   Poland,1995,134.0
   Portugal,1995,74.0
   Romania,1995,2.0
   Slovakia,1995,27.0
   Slovenia,1995,8.0
   Spain,1995,397.0
   Sweden,1995,217.0
   United Kingdom,1995,633.0
Japan,1995,7.0
Norway,1995,5.0
Russian Federation,1995,78.0
Switzerland,1995,175.0
Tunisia,1995,0.0
USA,1995,1841.0
   Austria,1996,163.0
   Belgium,1996,
