date,excelso_price_cents_per_pound,price_adjusted_inflation
1913-02-01,16,420
1913-03-01,15,394
1913-04-01,15,394
1913-05-01,15,398
1913-06-01,14,367
1913-07-01,14,364
1913-08-01,14,364
1913-09-01,15,386
1913-10-01,16,412
1913-11-01,15,382
1913-12-01,16,412
1914-01-01,16,412
1914-02-01,16,416
1914-03-01,16,416
1914-04-01,17,446
1914-05-01,17,442
1914-06-01,16,416
1914-07-01,16,412
1914-08-01,15,378
1914-09-01,13,328
1914-10-01,13,331
1914-11-01,13,328
1914-12-01,14,357
1915-01-01,15,382
1915-02-01,14,360
1915-03-01,15,390
1915-04-01,15,386
1915-05-01,14,357
1915-06-01,14,357
1915-07-01,14,357
1915-08-01,13,331
1915-09-01,13,331
1915-10-01,14,353
1915-11-01,14,350
1915-12-01,14,350
1916-01-01,15,371
1916-02-01,15,371
1916-03-01,15,367
1916-04-01,16,388
1916-05-01,15,361
1916-06-01,14,333
1916-07-01,13,310
1916-08-01,13,307
1916-09-01,13,301
1916-10-01,13,296
1916-11-01,12,268
1916-12-01,13,288
1917-01-01,13,286
1917-02-01,13,279
1917-03-01,13,279
1917-04-01,13,265
1917-05-01,13,261
1917-06-01,13,257
1917-07-01,12,241
1917-08-01,12,237
1917-09-01,11,213
1917-10-01,12,229
1917-11-01,12,229
1917-12-01,13,244
1918-01-01,14,257
1918-02-01,15,274
1918-03-01,15,276
1918-04-01,14,254
1918-05-01,14,248
1918-06-01,14,245
1918-07-01,14,238
1918-08-01,14,234
1918-09-01,15,246
1918-10-01,16,257
1918-11-01,22,347
1918-12-01,24,374
1919-01-01,22,343
1919-02-01,23,365
1919-03-01,23,361
1919-04-01,26,400
1919-05-01,28,426
1919-06-01,30,457
1919-07-01,30,443
1919-08-01,31,450
1919-09-01,28,405
1919-10-01,30,426
1919-11-01,30,417
1919-12-01,28,381
1920-01-01,28,373
1920-02-01,27,356
1920-03-01,28,366
1920-04-01,27,342
1920-05-01,27,337
1920-06-01,25,308
1920-07-01,21,260
1920-08-01,17,215
1920-09-01,13,167
1920-10-01,14,181
1920-11-01,13,169
1920-12-01,13,172
1921-01-01,16,217
1921-02-01,16,224
