month,price_per_pound
Jan-13,17.06
Feb-13,16.31
Mar-13,15.69
Apr-13,15.63
May-13,15.56
Jun-13,14.50
Jul-13,14.44
Aug-13,14.44
Sep-13,15.38
Oct-13,16.50
Nov-13,15.94
Dec-13,16.06
Jan-14,16.94
Feb-14,16.81
Mar-14,16.75
Apr-14,17.00
May-14,17.75
Jun-14,16.50
Jul-14,16.25
Aug-14,15.31
Sep-14,13.38
Oct-14,13.63
Nov-14,13.88
Dec-14,14.13
Jan-15,15.13
Feb-15,14.63
Mar-15,15.25
Apr-15,15.13
May-15,14.56
Jun-15,14.63
Jul-15,14.63
Aug-15,13.88
Sep-15,13.75
Oct-15,14.19
Nov-15,14.19
Dec-15,14.13
Jan-16,15.00
Feb-16,15.75
Mar-16,15.69
Apr-16,16.13
May-16,15.25
Jun-16,14.19
Jul-16,13.88
Aug-16,13.75
Sep-16,13.56
Oct-16,13.69
Nov-16,12.88
Dec-16,13.50
Jan-17,13.63
Feb-17,13.69
Mar-17,13.00
Apr-17,13.38
May-17,13.38
Jun-17,13.00
Jul-17,12.38
Aug-17,12.13
Sep-17,11.88
Oct-17,12.00
Nov-17,12.75
Dec-17,13.88
Jan-18,14.50
Feb-18,15.25
Mar-18,15.13
Apr-18,14.63
May-18,14.50
Jun-18,14.25
Jul-18,14.13
Aug-18,14.13
Sep-18,15.81
Oct-18,16.69
Nov-18,22.75
Dec-18,24.88
Jan-19,22.25
Feb-19,23.00
Mar-19,23.25
Apr-19,26.00
May-19,28.38
Jun-19,30.00
Jul-19,30.50
Aug-19,31.50
Sep-19,28.00
Oct-19,30.38
Nov-19,30.00
Dec-19,28.88
Jan-20,28.75
Feb-20,27.75
Mar-20,28.38
Apr-20,27.50
May-20,27.25
Jun-20,25.13
Jul-20,21.38
Aug-20,17.00
Sep-20,13.88
Oct-20,14.25
Nov-20,13.50
Dec-20,13.88
Jan-21,16.25
Feb-21,16.88
Mar-21,16.25
Apr-21,15.38
May-21,15.13
Jun-21,15.31
Jul-21,14.81
Aug-21,14.88
Sep-21,15.88
Oct-21,15.63
Nov-21,15.25
Dec-21,15.75
Jan-22,15.50
Feb-22,15.63
Mar-22,17.25
Apr-22,17.63
May-22,17.13
Jun-22,17.38
Jul-22,17.38
Aug-22,17.44
Sep-22,18.06
Oct-22,18.06
Nov-22,18.50
Dec-22,19.75
Jan-23,22.38
Feb-23,21.75
Mar-23,20.88
Apr-23,17.75
May-23,17.38
Jun-23,15.88
Jul-23,15.63
Aug-23,17.00
Sep-23,18.00
Oct-23,20.38
Nov-23,18.75
Dec-23,20.00
Jan-24,21.00
Feb-24,26.00
Mar-24,26.25
Apr-24,24.75
May-24,22.50
Jun-24,23.88
Jul-24,25.25
Aug-24,25.38
Sep-24,26.25
Oct-24,28.50
Nov-24,21.38
Dec-24,28.13
Jan-25,28.50
Feb-25,28.25
Mar-25,27.25
Apr-25,24.00
May-25,26.63
Jun-25,26.63
Jul-25,24.38
Aug-25,29.31
Sep-25,25.63
Oct-25,30.25
Nov-25,30.00
Dec-25,30.38
Jan-26,31.38
Feb-26,30.00
Mar-26,28.75
Apr-26,28.88
May-26,29.88
Jun-26,28.63
Jul-26,29.75
Aug-26,28.88
Sep-26,27.75
Oct-26,26.25
