"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1975-08",,,,,,,,,"0","3,S","0","3,S",,,,,,,"63","3,S,30,+",,,,,,,,,,,,,,,"63.8","3,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1975-09",,,,,,,,,"0","4,S","0","4,S",,,,,,,"61","4,S,21,+",,,,,,,,,,,,,,,"63.7","4,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1975-11",,,,,,,,,"0","5,S","0","5,S",,,,,,,"63","5,S,30,+",,,,,,,,,,,,,,,"63.7","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1976-02",,,,,,,,,"0","5,S","0","5,S",,,,,,,"61","5,S,20,+",,,,,,,,,,,,,,,"63.4","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1976-03",,,,,,,,,,,,,"0","5,S","26","5,S","0","5,S",,,,,"79","5,S,31,+",,,,,,,,,"76.5","5,,,S",,
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1976-05",,,,,,,,,"0","5,S","0","5,S",,,,,,,"63","5,S,23,",,,,,,,,,,,,,,,"65.4","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1976-07",,,,,,,,,"0","5,S","0","5,S",,,,,,,"63","5,S,26,+",,,,,,,,,,,,,,,"65.3","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1976-08",,,,,,,,,"0","5,S","0","5,S",,,,,,,"57","5,S,09,",,,,,,,,,,,,,,,"64.5","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1976-11",,,"161","5,S","9","2,S","3","2,S","0","4,S","0","4,S","0","3,S","27","3,S","0","3,S","63","4,S,14,","0.28","2,,S,03,","82","3,S,24,",,,"0","3,S","0.93","2,,,S","71.3","5,S","77.5","3,,,S","65.2","4,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-01",,,,,"4","2,S","2","2,S","0","3,S","0","3,S","0","5,S","26","5,S","0","5,S","63","3,S,25,","1.54","2,,S,19,","82","5,S,17,+",,,,,"1.94","2,,,S","72.0","7,S","78.8","5,,,S","65.3","3,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-02",,,,,"7",",S","6",",S","0",",S","0",",S",,,,,,,"64",",S,21,+","0.31",",,S,13,",,,,,,,"1.27",",,,S",,,,,"66.4",",,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-03",,,,,"10","1,S","6","1,S","0","1,S","0","1,S",,,,,,,"63","1,S,24,+","2.36","1,,S,22,",,,,,,,"4.88","1,,,S",,,,,"67.2","1,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-04",,,,,"14","4,S","7","4,S",,,,,,,,,,,,,"1.54","4,,S,12,",,,,,,,"3.40","4,,,S",,,,,,
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-05",,,,,"19","3,S","12","3,S","0","2,S","0","2,S",,,,,,,"63","2,S,16,+","1.69","3,,S,16,",,,,,,,"4.47","3,,,S",,,,,"65.3","2,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-06",,,"162","4,S","13",",S","8",",S","0","2,S","0","2,S","0","2,S","28","2,S","0","2,S","63","2,S,14,+","1.18",",,S,02,","84","2,S,06,",,,"0","2,S","4.57",",,,S","71.3","4,S","77.4","2,,,S","65.2","2,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-07",,,,,"15","1,S","9","1,S","0","1,S","0","1,S",,,,,,,"63","1,S,31,+","0.79","1,,S,26,",,,,,,,"3.30","1,,,S",,,,,"65.5","1,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-08",,,,,"12","2,S","6","2,S","0","3,S","0","3,S",,,,,,,"63","3,S,21,+","1.22","2,,S,05,",,,,,,,"2.60","2,,,S",,,,,"65.0","3,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-09",,,,,"11","4,S","8","4,S","0","5,S","0","5,S",,,,,,,"63","5,S,28,+","0.98","4,,S,25,",,,,,,,"3.16","4,,,S",,,,,"65.0","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-10",,,,,"12","4,S","8","4,S",,,,,"0","2,S","29","2,S","0","2,S",,,"1.50","4,,S,01,","82","2,S,22,+",,,,,"4.19","4,,,S",,,"77.7","2,,,S",,
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-11",,,,,"10","1,S","8","1,S","0","3,S","0","3,S",,,,,,,"63","3,S,15,+","2.13","1,,S,15,",,,,,,,"5.20","1,,,S",,,,,"64.7","3,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1977-12",,,,,"4","4,S","3","4,S","0","5,S","0","5,S",,,,,,,"64","5,S,31,+","0.83","4,,S,08,",,,,,,,"2.21","4,,,S",,,,,"65.2","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-01",,,,,"7","5,S","7","5,S","0","5,S","0","5,S","0","5,S","26","5,S","0","5,S","61","5,S,14,","2.36","5,,S,29,","82","5,S,24,+",,,,,"4.40","5,,,S","71.1","6,S","77.2","5,,,S","65.0","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-02",,,"168","5,S","9",",S","6",",S","0","1,S","0","1,S","0","4,S","24","4,S","0","4,S","61","1,S,05,","2.13",",,S,05,","84","4,S,21,+",,,"0","4,S","3.83",",,,S","72.2","5,S","78.3","4,,,S","66.1","1,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-03",,,,,"13","3,S","8","3,S",,,,,,,,,,,,,"1.69","3,,S,04,",,,,,,,"8.56","3,,,S",,,,,,
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-04",,,,,"18","5,S","10","5,S","0","5,S","0","5,S",,,,,,,"63","5,S,18,+","3.15","5,,S,18,",,,,,,,"12.07","5,,,S",,,,,"65.1","5,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-06",,,,,"16","4,S","6","4,S","0","4,S","0","4,S",,,,,,,"63","4,S,30,+","0.39","4,,S,08,",,,,,,,"1.83","4,,,S",,,,,"64.9","4,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-07",,,"156","5,S","12","3,S","3","3,S","0","4,S","0","4,S","0","4,S","27","4,S","0","4,S","63","4,S,17,+","0.71","3,,S,01,","81","4,S,31,+","0","S","0","4,S","1.56","3,,,S","71.1","5,S","77.7","4,,,S","64.4","4,,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-08",,,,,"19",",S","11",",S","0",",S","0",",S",,,,,,,"63",",S,31,+","1.85",",,S,05,",,,,,,,"4.94",",,,S",,,,,"64.9",",,,S"
"COM00080094","PALONEGRO, CO","7.127","-73.185","1187.8","1978-09",,,,,"9","2,S","8","2,S","0","3,S","0","3,S","0","5,S","25","5,S","0","5,S","61","3,S,15,","0.75","2,,S,03,","82","5,S,01,",,,,,"3.06","2,,,S","70.8","6,S","77.3","5,,,S","64.3","3,,,S"
