,department,first_date_record,last_date_record
"ALFONSO LOPEZ PUMAREJO, CO",Cesar,1969-08-20,2020-01-07
"ANTONIO ROLDAN BETANCOURT, CO",Antioquia,1984-12-29,2020-01-07
"BENITO SALAS, CO",Huila,1964-09-17,2020-01-07
"BOGOTA ELDORADO, CO",Cundinamarca,1960-01-12,2020-01-07
"CALI ALFONSO BONILL, CO",Valle,1961-01-01,2020-01-07
"EL CARANO, CO",Cauca,1963-01-21,2020-01-07
"EL EDEN, CO",Quindio,1964-09-17,2020-01-07
"JOSE MARIA CORDOVA, CO",Caldas,1985-12-01,2020-01-07
"MATECANA, CO",Risaralda,1963-03-22,2020-01-07
"PALONEGRO, CO",Santander,1975-04-05,2020-01-07
"PASTO ANTONIO NARIN, CO",Narino,1960-02-01,2020-01-07
"PERALES, CO",Tolima,1973-01-01,2020-01-07
"SIMON BOLIVAR, CO",Magdalena,1964-09-16,2020-01-07
